1507.2318, -62.573, 1507.2318, -61.715, 1507.2318, -60.921, 1507.2318, -60.206, 1507.2318, -60.249, 1507.2318, -61.093,  , 
1507.2531, -62.910, 1507.2531, -61.673, 1507.2531, -60.941, 1507.2531, -60.074, 1507.2531, -60.324, 1507.2531, -61.092,  , 
1507.2743, -63.383, 1507.2743, -61.782, 1507.2743, -60.833, 1507.2743, -60.173, 1507.2743, -60.262, 1507.2743, -61.086,  , 
1507.2956, -62.461, 1507.2956, -61.715, 1507.2956, -60.892, 1507.2956, -60.094, 1507.2956, -60.161, 1507.2956, -61.196,  , 
1507.3168, -63.222, 1507.3168, -61.704, 1507.3168, -60.598, 1507.3168, -60.172, 1507.3168, -60.135, 1507.3168, -60.975,  , 
1507.3381, -62.773, 1507.3381, -61.234, 1507.3381, -60.637, 1507.3381, -59.964, 1507.3381, -60.454, 1507.3381, -60.996,  , 
1507.3593, -62.845, 1507.3593, -61.730, 1507.3593, -60.634, 1507.3593, -60.223, 1507.3593, -60.124, 1507.3593, -60.975,  , 
1507.3806, -62.964, 1507.3806, -61.656, 1507.3806, -60.710, 1507.3806, -60.013, 1507.3806, -60.171, 1507.3806, -60.809,  , 
1507.4019, -62.773, 1507.4019, -61.585, 1507.4019, -60.837, 1507.4019, -59.997, 1507.4019, -60.168, 1507.4019, -60.760,  , 
1507.4231, -62.705, 1507.4231, -61.762, 1507.4231, -60.404, 1507.4231, -60.019, 1507.4231, -60.031, 1507.4231, -60.567,  , 
1507.4444, -62.787, 1507.4444, -61.511, 1507.4444, -60.510, 1507.4444, -59.985, 1507.4444, -60.231, 1507.4444, -60.663,  , 
1507.4656, -62.851, 1507.4656, -61.345, 1507.4656, -60.492, 1507.4656, -59.902, 1507.4656, -60.128, 1507.4656, -60.731,  , 
1507.4869, -62.836, 1507.4869, -61.675, 1507.4869, -60.348, 1507.4869, -60.201, 1507.4869, -60.235, 1507.4869, -60.613,  , 
1507.5081, -63.055, 1507.5081, -61.156, 1507.5081, -60.456, 1507.5081, -59.963, 1507.5081, -60.688, 1507.5081, -60.303,  , 
1507.5294, -62.849, 1507.5294, -61.561, 1507.5294, -60.622, 1507.5294, -60.257, 1507.5294, -60.274, 1507.5294, -60.297,  , 
1507.5506, -63.024, 1507.5506, -61.316, 1507.5506, -60.324, 1507.5506, -59.793, 1507.5506, -60.243, 1507.5506, -60.330,  , 
1507.5719, -62.752, 1507.5719, -61.621, 1507.5719, -60.443, 1507.5719, -59.998, 1507.5719, -60.501, 1507.5719, -60.188,  , 
1507.5931, -62.962, 1507.5931, -61.211, 1507.5931, -60.260, 1507.5931, -59.903, 1507.5931, -60.243, 1507.5931, -59.823,  , 
1507.6144, -63.091, 1507.6144, -61.184, 1507.6144, -60.191, 1507.6144, -60.170, 1507.6144, -60.439, 1507.6144, -60.038,  , 
1507.6357, -63.025, 1507.6357, -61.430, 1507.6357, -60.179, 1507.6357, -59.862, 1507.6357, -60.412, 1507.6357, -59.963,  , 
1507.6569, -62.626, 1507.6569, -61.640, 1507.6569, -60.329, 1507.6569, -59.928, 1507.6569, -60.726, 1507.6569, -59.757,  , 
1507.6782, -63.336, 1507.6782, -61.116, 1507.6782, -60.374, 1507.6782, -60.155, 1507.6782, -60.288, 1507.6782, -59.764,  , 
