1508.1245,-54.477,1508.1245,-54.582,1508.1245,-54.893,1508.1245,-54.955,1508.1245,-53.886,1508.1245,-52.467
1508.1458,-54.441,1508.1458,-54.656,1508.1458,-54.988,1508.1458,-54.907,1508.1458,-53.839,1508.1458,-52.408
1508.1670,-54.473,1508.1670,-54.523,1508.1670,-54.973,1508.1670,-54.861,1508.1670,-53.763,1508.1670,-52.364
1508.1883,-54.409,1508.1883,-54.583,1508.1883,-54.942,1508.1883,-54.787,1508.1883,-53.762,1508.1883,-52.368
1508.2096,-54.391,1508.2096,-54.611,1508.2096,-54.942,1508.2096,-54.785,1508.2096,-53.729,1508.2096,-52.325
1508.2308,-54.424,1508.2308,-54.560,1508.2308,-54.972,1508.2308,-54.739,1508.2308,-53.679,1508.2308,-52.331
1508.2521,-54.363,1508.2521,-54.584,1508.2521,-54.924,1508.2521,-54.746,1508.2521,-53.630,1508.2521,-52.262
1508.2733,-54.404,1508.2733,-54.565,1508.2733,-54.936,1508.2733,-54.758,1508.2733,-53.589,1508.2733,-52.248
1508.2946,-54.411,1508.2946,-54.618,1508.2946,-54.894,1508.2946,-54.690,1508.2946,-53.600,1508.2946,-52.226
1508.3158,-54.375,1508.3158,-54.635,1508.3158,-54.876,1508.3158,-54.703,1508.3158,-53.580,1508.3158,-52.219
1508.3371,-54.376,1508.3371,-54.595,1508.3371,-54.933,1508.3371,-54.642,1508.3371,-53.519,1508.3371,-52.147
1508.3583,-54.333,1508.3583,-54.631,1508.3583,-54.924,1508.3583,-54.635,1508.3583,-53.463,1508.3583,-52.140
1508.3796,-54.389,1508.3796,-54.716,1508.3796,-54.850,1508.3796,-54.613,1508.3796,-53.505,1508.3796,-52.156
1508.4009,-54.354,1508.4009,-54.615,1508.4009,-54.860,1508.4009,-54.631,1508.4009,-53.402,1508.4009,-52.092
1508.4221,-54.344,1508.4221,-54.604,1508.4221,-54.958,1508.4221,-54.510,1508.4221,-53.384,1508.4221,-52.067
1508.4434,-54.295,1508.4434,-54.623,1508.4434,-54.895,1508.4434,-54.556,1508.4434,-53.344,1508.4434,-52.036
1508.4646,-54.254,1508.4646,-54.635,1508.4646,-54.831,1508.4646,-54.461,1508.4646,-53.277,1508.4646,-51.998
1508.4859,-54.317,1508.4859,-54.713,1508.4859,-54.808,1508.4859,-54.494,1508.4859,-53.264,1508.4859,-51.990
1508.5071,-54.254,1508.5071,-54.579,1508.5071,-54.874,1508.5071,-54.441,1508.5071,-53.251,1508.5071,-51.961
1508.5284,-54.260,1508.5284,-54.659,1508.5284,-54.802,1508.5284,-54.439,1508.5284,-53.226,1508.5284,-51.944
1508.5496,-54.279,1508.5496,-54.637,1508.5496,-54.903,1508.5496,-54.396,1508.5496,-53.163,1508.5496,-51.891
