1510.8452, -43.752
1510.8665, -43.734
1510.8877, -43.718
1510.9090, -43.702
1510.9302, -43.690
1510.9515, -43.673
1510.9727, -43.652
1510.9940, -43.642
1511.0153, -43.629
1511.0365, -43.608
1511.0578, -43.596
1511.0790, -43.576
1511.1003, -43.565
1511.1215, -43.548
1511.1428, -43.542
1511.1640, -43.519
1511.1853, -43.503
1511.2066, -43.489
1511.2278, -43.470
1511.2491, -43.459
1511.2703, -43.444
1511.2916, -43.431
1511.3128, -43.418
1511.3341, -43.389
1511.3553, -43.388
1511.3766, -43.363
1511.3978, -43.349
1511.4191, -43.330
1511.4404, -43.320
1511.4616, -43.298
1511.4829, -43.285
1511.5041, -43.275
1511.5254, -43.254
1511.5466, -43.242
1511.5679, -43.225
1511.5891, -43.207
1511.6104, -43.196
1511.6317, -43.178
1511.6529, -43.158
1511.6742, -43.144
1511.6954, -43.133
1511.7167, -43.117
1511.7379, -43.099
1511.7592, -43.081
1511.7804, -43.071
1511.8017, -43.051
1511.8230, -43.040
1511.8442, -43.027
1511.8655, -43.010
1511.8867, -42.993
1511.9080, -42.976
1511.9292, -42.965
1511.9505, -42.953
1511.9717, -42.935
1511.9930, -42.912
1512.0143, -42.897
1512.0355, -42.884
1512.0568, -42.856
1512.0780, -42.843
1512.0993, -42.831
1512.1205, -42.807
1512.1418, -42.793
1512.1630, -42.775
1512.1843, -42.759
1512.2056, -42.744
1512.2268, -42.726
1512.2481, -42.703
1512.2693, -42.693
1512.2906, -42.673
1512.3118, -42.654
1512.3331, -42.643
1512.3543, -42.620
1512.3756, -42.608
1512.3968, -42.592
1512.4181, -42.572
1512.4394, -42.559
1512.4606, -42.545
1512.4819, -42.523
1512.5031, -42.502
1512.5244, -42.486
1512.5456, -42.467
1512.5669, -42.449
1512.5881, -42.430
1512.6094, -42.416
1512.6307, -42.400
1512.6519, -42.386
1512.6732, -42.364
1512.6944, -42.346
1512.7157, -42.331
1512.7369, -42.314
1512.7582, -42.301
1512.7794, -42.279
1512.8007, -42.265
1512.8220, -42.244
1512.8432, -42.231
1512.8645, -42.219
1512.8857, -42.195
1512.9070, -42.183
1512.9282, -42.165
1512.9495, -42.150
1512.9707, -42.133
1512.9920, -42.114
1513.0133, -42.099
1513.0345, -42.080
1513.0558, -42.063
1513.0770, -42.047
1513.0983, -42.027
1513.1195, -42.014
1513.1408, -41.995
1513.1620, -41.978
1513.1833, -41.961
1513.2046, -41.942
1513.2258, -41.926
1513.2471, -41.911
1513.2683, -41.893
1513.2896, -41.873
1513.3108, -41.860
1513.3321, -41.845
1513.3533, -41.825
1513.3746, -41.805
1513.3958, -41.785
1513.4171, -41.762
1513.4384, -41.747
1513.4596, -41.724
1513.4809, -41.708
1513.5021, -41.694
1513.5234, -41.670
1513.5446, -41.655
1513.5659, -41.631
1513.5871, -41.613
1513.6084, -41.595
1513.6297, -41.576
1513.6509, -41.558
1513.6722, -41.540
1513.6934, -41.524
1513.7147, -41.504
1513.7359, -41.489
1513.7572, -41.470
1513.7784, -41.448
1513.7997, -41.432
1513.8210, -41.415
1513.8422, -41.393
1513.8635, -41.376
1513.8847, -41.359
1513.9060, -41.340
1513.9272, -41.323
1513.9485, -41.302
1513.9697, -41.286
1513.9910, -41.265
1514.0123, -41.249
1514.0335, -41.229
1514.0548, -41.206
1514.0760, -41.192
1514.0973, -41.171
1514.1185, -41.156
1514.1398, -41.139
1514.1610, -41.117
1514.1823, -41.098
1514.2036, -41.076
1514.2248, -41.060
1514.2461, -41.045
1514.2673, -41.020
1514.2886, -41.006
1514.3098, -40.986
1514.3311, -40.970
1514.3523, -40.954
1514.3736, -40.934
1514.3948, -40.919
1514.4161, -40.896
1514.4374, -40.879
1514.4586, -40.862
1514.4799, -40.842
1514.5011, -40.823
1514.5224, -40.806
1514.5436, -40.785
1514.5649, -40.772
1514.5861, -40.748
1514.6074, -40.733
1514.6287, -40.715
1514.6499, -40.693
1514.6712, -40.674
1514.6924, -40.656
1514.7137, -40.635
1514.7349, -40.615
1514.7562, -40.591
1514.7774, -40.577
1514.7987, -40.555
1514.8200, -40.531
1514.8412, -40.509
1514.8625, -40.492
1514.8837, -40.470
1514.9050, -40.445
1514.9262, -40.428
1514.9475, -40.405
1514.9687, -40.382
1514.9900, -40.361
1515.0113, -40.345
1515.0325, -40.320
1515.0538, -40.299
1515.0750, -40.280
1515.0963, -40.257
1515.1175, -40.242
1515.1388, -40.215
1515.1600, -40.197
1515.1813, -40.179
1515.2026, -40.157
1515.2238, -40.135
1515.2451, -40.114
1515.2663, -40.091
1515.2876, -40.073
1515.3088, -40.054
1515.3301, -40.030
1515.3513, -40.012
1515.3726, -39.992
1515.3938, -39.968
1515.4151, -39.951
1515.4364, -39.932
1515.4576, -39.907
1515.4789, -39.886
1515.5001, -39.866
1515.5214, -39.843
1515.5426, -39.823
1515.5639, -39.803
1515.5851, -39.782
1515.6064, -39.764
1515.6277, -39.737
1515.6489, -39.717
1515.6702, -39.697
1515.6914, -39.676
1515.7127, -39.651
1515.7339, -39.630
1515.7552, -39.609
1515.7764, -39.591
1515.7977, -39.569
1515.8190, -39.550
1515.8402, -39.528
1515.8615, -39.504
1515.8827, -39.481
